Ano;Safra;Fazenda;Talhao;Cultura;Variedade;Destinação;Colhido (Kg);Area Colhida (Há);Data Colheita
2024;1;Austrália;Ubatuba;Soja;BMX TORMENTA IPRO;Grão;136560;40,86;03/03/2024
2024;1;Austrália;Santo André;Soja;BMX OLIMPO IPRO;Grão;26401;7;06/03/2024
2024;1;Austrália;Pirituba;Soja;BMX OLIMPO IPRO;Grão;150836;30,49;11/03/2024
2024;1;São Pedro;Bolívia;Soja;BMX TORMENTA IPRO;Grão;224741;61,98;27/02/2024
2024;1;São Pedro;Pivô 2;Milho Doce;Thunder;Outros;2087850;112,01;22/02/2024
2024;1;Austrália;São Caetano;Soja;BMX OLIMPO IPRO;Grão;82961;17,61;11/03/2024
2024;1;Austrália;Mauá;Soja;BMX OLIMPO IPRO;Grão;190966;60,96;12/03/2024
2024;1;Austrália;Araraquara;Soja;BMX OLIMPO IPRO;Grão;30870;8,53;11/03/2024
2024;1;Austrália;São Vicente;Soja;BMX OLIMPO IPRO;Grão;122550;33,86;12/03/2024
2024;1;Austrália;Guarujá;Soja;BMX OLIMPO IPRO;Grão;96670;26,71;13/03/2024
2024;1;Austrália;Barretos;Soja;BMX OLIMPO IPRO;Grão;525370;148,22;15/03/2024
2024;1;Austrália;Jaú;Soja;BMX GUEPARDO IPRO;Grão;150640;27,27;15/03/2024
2024;1;Austrália;Ituverava;Soja;BMX GUEPARDO IPRO;Grão;186523;47,8;18/03/2024
2024;1;Austrália;Orlândia;Soja;ST 700 i2X;Grão;143872;25;19/03/2024
2024;1;Austrália;Taubaté;Soja;ST 700 i2X;Grão;336008;96,32;22/03/2024
2024;1;São Bernardo;Coromandel;Soja;BMX GUEPARDO IPRO;Grão;251486;63,78;02/03/2024
2024;1;São Bernardo;Viçosa;Soja;TMG 2374 IPRO;Grão;365899;90,53;06/03/2024
2024;1;São Bernardo;Gurinhatã;Soja;BMX TORMENTA IPRO;Grão;221568;59,11;05/03/2024
2024;1;São Bernardo;Ouro Preto;Soja;TMG 2374 IPRO;Grão;279549;73,46;04/03/2024
2024;1;Boa Viagem;Amazonas;Soja;BMX OLIMPO IPRO;Grão;465525;188,18;05/03/2024
2024;1;Boa Viagem;Pivô 5;Milho Doce;Thunder;Outros;1151830;55,05;05/02/2024
2024;1;Boa Viagem;Pivô 7;Milho Doce;Thunder;Outros;746240;57,98;05/03/2024
2024;1;Boa Viagem;Pivô 8;Milho Doce;Thunder;Outros;1354120;81,11;15/02/2024
2024;1;Boa Viagem;Pivô 12;Soja;BMX TORMENTA IPRO;Grão;116790;28,09;29/01/2024
