Ano;Safra;Fazenda;Talhao;Cultura;Variedade;Destinacao;Area Plantio (ha);Tipo Adubacao;Recomendacao (kg/ha);Data Inicio Plantio;Data Fim Plantio;Estado
2024;2;São Pedro;Pivô 4;Algodão;FM 906 GLT;Fibras;148,6656;10-46-00 + 9S;120;12/02/2024;15/02/2024;MG
2024;2;Pedra do Cerrado;Pivô 6;Feijão;TAA DAMA;Grão;140;MAP;120;27/05/2024;28/05/2024;MS
2024;2;Pedra do Cerrado;Pivô 12;Feijão;TAA DAMA;Grão;177;MAP;100;18/07/2024;24/07/2024;MS
2024;2;Pedra do Cerrado;Pivô 14;Feijão;TAA DAMA;Grão;92;MAP;100;12/07/2024;18/07/2024;MS
2024;2;Pedra do Cerrado;Pivô 5;Mix Cobertura;RX 370;Outros;90;Bioativo Composto Rocha Fosfática Apatitica;5500;15/07/2024;25/07/2024;MS
2024;2;Pedra do Cerrado;Pivô 8;Sorgo;BOLIVIANO;Silagem;155;MAP+M;100;24/07/2024;27/07/2024;MS
2024;2;Pedra do Cerrado;Pivô 11;Sorgo;BOLIVIANO;Silagem;162;Bioativo Composto Rocha Fosfática Apatitica;5500;07/08/2024;09/08/2024;MS
2024;2;Pedra do Cerrado;Pivô 10;Sorgo;BOLIVIANO;Silagem;196;Bioativo Composto Rocha Fosfática Apatitica;5500;12/08/2024;14/08/2024;MS
2024;2;Lagoa Bonita;Pivô 9;Algodão;FM 906 GLT;Fibras;64,73;MAP;200;08/01/2024;15/01/2024;MG
2024;2;Pedra do Cerrado;Pivô 7;Capim;Mombaça;Silagem;86;Bioativo Composto Bayovar;5500;14/05/2024;15/05/2024;MS
2024;2;Pedra do Cerrado;Pivô 9;Mix Cobertura;RX 370;Outros;195;Bioativo Composto Rocha Fosfática Apatitica;5500;01/08/2024;08/08/2024;MS
2024;2;Pedra do Cerrado;Pivô 15;Mix Cobertura;RX 370;Outros;40;Bioativo Composto Rocha Fosfática Apatitica;5500;07/09/2024;07/09/2024;MS
2024;1;São Pedro;Argentina;Milho;P3707 LP;Grão;11,1592;Nenhum;200;28/10/2023;28/11/2023;MG
2024;1;Atena;Alemanha;Milho;DKB 356 PRO4;Grão;114,7614;Nenhum;200;14/10/2023;20/10/2023;MG
2024;1;Atena;Argentina;Milho;P3707 LP;Grão;40,46;MAP;200;28/10/2023;28/10/2023;MG
2024;1;Atena;Irlanda;Milho;B2801 PWU;Grão;90;Nenhum;200;20/10/2023;24/10/2023;MG
